WEEK,Eth Mined,Reported Avg Daily USD Per 1 MegaHash,USD Based On Avg,USD Based On Eth Mined,1 ETH In USD
49,0.02,0.07425714286,88.366,87.78217143,4389.108571
50,0.015,0.06704285714,79.781,62.8425,4189.5
51,0.015,0.06335714286,75.395,58.6788,3911.92
52,0.015,0.06284285714,74.783,60.59089286,4039.392857
1,0.015,0.05984285714,61.387,48.45225,3777.321429
2,0.015,0.05504285714,65.501,51.27728571,3418.485714
3,0.015,0.05045714286,60.044,49.13164286,3275.442857
4,0.0163,0.04718571429,56.151,46.59750857,2858.742857
5,0.015,0.03677142857,43.758,37.59835714,2506.557143
6,0.015,0.04345714286,51.714,42.705,2847
7,0.015,0.045,53.55,45.65453571,3043.635714
8,0.01,0.04257142857,50.66,29.0045,2900.45
9,0.015,0.03914285714,46.58,39.75857143,2650.571429
10,0.015,0.0396,47.124,41.8335,2788.9
11,0.005,0.0374,44.506,12.88960714,2577.921429
12,0.015,0.02717142857,32.334,29.43642857,1962.428571